song_id,artist_name,song_name,popularity,energy,valence,danceability,explicit,loudness,duration_ms
Alicia Keys - Empire State of Mind (Part II) Broken Down,Alicia Keys,Empire State of Mind (Part II) Broken Down,72,0.368,0.142,0.484,0,-7.784,216480
Alicia Keys - Fallin',Alicia Keys,Fallin',77,0.609,0.482,0.652,0,-7.519,210200
Alicia Keys - If I Ain't Got You,Alicia Keys,If I Ain't Got You,83,0.444,0.166,0.609,0,-9.129,228706
Alicia Keys - No One,Alicia Keys,No One,77,0.549,0.167,0.644,0,-5.415,253813
Alicia Keys - Un-thinkable (I'm Ready),Alicia Keys,Un-thinkable (I'm Ready),69,0.505,0.335,0.596,0,-7.892,249240
Alicia Keys - Underdog,Alicia Keys,Underdog,64,0.726,0.282,0.657,0,-4.74,204400
Alicia Keys - You Don't Know My Name,Alicia Keys,You Don't Know My Name,68,0.663,0.249,0.264,0,-8.264,366733
Aretha Franklin - (You Make Me Feel Like) A Natural Woman,Aretha Franklin,(You Make Me Feel Like) A Natural Woman,70,0.271,0.405,0.603,0,-10.083,165333
Aretha Franklin - Chain of Fools,Aretha Franklin,Chain of Fools,63,0.567,0.914,0.721,0,-9.516,167066
Aretha Franklin - Day Dreaming,Aretha Franklin,Day Dreaming,60,0.338,0.253,0.446,0,-12.372,240973
Aretha Franklin - I Knew You Were Waiting (For Me),Aretha Franklin,I Knew You Were Waiting (For Me),63,0.842,0.712,0.705,0,-6.171,240120
Aretha Franklin - I Say a Little Prayer,Aretha Franklin,I Say a Little Prayer,77,0.355,0.499,0.592,0,-14.051,216773
Aretha Franklin - One Step Ahead,Aretha Franklin,One Step Ahead,54,0.308,0.63,0.386,0,-7.237,155800
Aretha Franklin - Respect,Aretha Franklin,Respect,77,0.558,0.965,0.805,0,-5.226,147600
Aretha Franklin - Son of a Preacher Man,Aretha Franklin,Son of a Preacher Man,58,0.473,0.559,0.477,0,-11.454,199266
Aretha Franklin - Think,Aretha Franklin,Think,67,0.838,0.711,0.653,0,-5.595,195306
Aretha Franklin - You Send Me,Aretha Franklin,You Send Me,63,0.303,0.629,0.512,0,-13.547,149626
Ariana Grande - bye,Ariana Grande,bye,88,0.662,0.436,0.64,0,-4.856,164927
Ariana Grande - don't wanna break up again,Ariana Grande,don't wanna break up again,85,0.729,0.532,0.512,1,-5.224,174006
Ariana Grande - eternal sunshine,Ariana Grande,eternal sunshine,87,0.503,0.315,0.658,0,-6.885,210200
Ariana Grande - intro (end of the world),Ariana Grande,intro (end of the world),90,0.37,0.354,0.475,1,-9.471,92400
Ariana Grande - supernatural,Ariana Grande,supernatural,86,0.708,0.554,0.591,0,-6.84,163381
Ariana Grande - the boy is mine,Ariana Grande,the boy is mine,90,0.631,0.408,0.787,1,-5.829,173639
Ariana Grande - we can't be friends (wait for your love),Ariana Grande,we can't be friends (wait for your love),96,0.638,0.307,0.646,0,-8.285,228639
"Ariana Grande - yes, and?",Ariana Grande,"yes, and?",86,0.761,0.795,0.785,1,-6.55,214994
Barbra Streisand - Don't Rain On My Parade,Barbra Streisand,Don't Rain On My Parade,51,0.598,0.297,0.355,0,-12.004,221173
"Barbra Streisand - Evergreen (Love Theme from ""A Star Is Born"")",Barbra Streisand,"Evergreen (Love Theme from ""A Star Is Born"")",60,0.303,0.186,0.335,0,-10.943,184800
Barbra Streisand - Guilty (feat. Barry Gibb),Barbra Streisand,Guilty (feat. Barry Gibb),64,0.697,0.935,0.655,0,-6.27,268600
Barbra Streisand - I Finally Found Someone (feat. Bryan Adams),Barbra Streisand,I Finally Found Someone (feat. Bryan Adams),64,0.428,0.0562,0.534,0,-7.45,221760
Barbra Streisand - Memory,Barbra Streisand,Memory,55,0.24,0.11,0.185,0,-14.889,235160
Barbra Streisand - The Way We Were,Barbra Streisand,The Way We Were,62,0.278,0.152,0.255,0,-15.89,209493
